季節,詳細季節,親季語,親季語よみがな,子季語,文字数,表示用子季語,季語の説明,分類
aki,三秋,秋風,あきかぜ,あきの風,4,,秋の訪れを告げる風。夏の熱気を払い去るとともに、木の葉を揺らし、人の心に哀愁と澄明な美意識を呼び覚ます。,天文
aki,三秋,秋風,あきかぜ,金風,2,,秋の訪れを告げる風。夏の熱気を払い去るとともに、木の葉を揺らし、人の心に哀愁と澄明な美意識を呼び覚ます。,天文
aki,三秋,秋風,あきかぜ,爽籟,2,,秋の訪れを告げる風。夏の熱気を払い去るとともに、木の葉を揺らし、人の心に哀愁と澄明な美意識を呼び覚ます。,天文
aki,三秋,秋風,あきかぜ,風爽か,3,,秋の訪れを告げる風。夏の熱気を払い去るとともに、木の葉を揺らし、人の心に哀愁と澄明な美意識を呼び覚ます。,天文
aki,三秋,秋曇,あきぐもり,秋曇,2,秋陰,秋の曇り空のこと。「春に三日の晴れなし」というが、秋の天気も変わりやすく、晴れ日と曇りの日が短い周期で入れ替わる。,天文
aki,三秋,秋曇,あきぐもり,秋陰,2,,秋の曇り空のこと。「春に三日の晴れなし」というが、秋の天気も変わりやすく、晴れ日と曇りの日が短い周期で入れ替わる。,天文
aki,三秋,秋高し,あきたかし,秋高し,3,秋高、天高し、空高し,秋の空がどこまでも高く澄み渡って見えるさま。大気の透明感と広大な天空への賛美を込めて詠む言葉。,天文
aki,三秋,秋高し,あきたかし,秋高,2,,秋の空がどこまでも高く澄み渡って見えるさま。大気の透明感と広大な天空への賛美を込めて詠む言葉。,天文
aki,三秋,秋高し,あきたかし,天高し,3,,秋の空がどこまでも高く澄み渡って見えるさま。大気の透明感と広大な天空への賛美を込めて詠む言葉。,天文
aki,三秋,秋高し,あきたかし,天高,2,,秋の空がどこまでも高く澄み渡って見えるさま。大気の透明感と広大な天空への賛美を込めて詠む言葉。,天文
aki,三秋,秋高し,あきたかし,空高し,3,,秋の空がどこまでも高く澄み渡って見えるさま。大気の透明感と広大な天空への賛美を込めて詠む言葉。,天文
aki,三秋,秋高し,あきたかし,空高,2,,秋の空がどこまでも高く澄み渡って見えるさま。大気の透明感と広大な天空への賛美を込めて詠む言葉。,天文
aki,三秋,秋の雨,あきのあめ,秋の雨,3,秋雨、秋黴雨、秋霖、後の村雨、秋の村雨,秋にしとしとと静かに降り続く雨（秋雨）。一雨ごとに気温が下がり、季節を冬へと一歩ずつ進める冷え冷えとした雨。,天文
aki,三秋,秋の雨,あきのあめ,秋雨,2,,秋にしとしとと静かに降り続く雨（秋雨）。一雨ごとに気温が下がり、季節を冬へと一歩ずつ進める冷え冷えとした雨。,天文
aki,三秋,秋の雨,あきのあめ,秋黴雨,3,,秋にしとしとと静かに降り続く雨（秋雨）。一雨ごとに気温が下がり、季節を冬へと一歩ずつ進める冷え冷えとした雨。,天文
aki,三秋,秋の雨,あきのあめ,秋霖,2,,秋にしとしとと静かに降り続く雨（秋雨）。一雨ごとに気温が下がり、季節を冬へと一歩ずつ進める冷え冷えとした雨。,天文
aki,三秋,秋の雨,あきのあめ,後の村雨,4,,秋にしとしとと静かに降り続く雨（秋雨）。一雨ごとに気温が下がり、季節を冬へと一歩ずつ進める冷え冷えとした雨。,天文
aki,三秋,秋の雨,あきのあめ,秋の村雨,4,,秋にしとしとと静かに降り続く雨（秋雨）。一雨ごとに気温が下がり、季節を冬へと一歩ずつ進める冷え冷えとした雨。,天文
aki,三秋,秋の雨,あきのあめ,あきさめ,4,,秋にしとしとと静かに降り続く雨（秋雨）。一雨ごとに気温が下がり、季節を冬へと一歩ずつ進める冷え冷えとした雨。,天文
aki,三秋,秋の嵐,あきのあらし,秋の嵐,3,秋の大風,秋に吹き荒れる強い風や野分（台風）。実った稲や色づく草木を激しく揺らし、秋の深まりと荒涼感をもたらす大風。,天文
aki,三秋,秋の嵐,あきのあらし,あきのあらし,6,,秋に吹き荒れる強い風や野分（台風）。実った稲や色づく草木を激しく揺らし、秋の深まりと荒涼感をもたらす大風。,天文
aki,三秋,秋の嵐,あきのあらし,秋の大風,4,,秋に吹き荒れる強い風や野分（台風）。実った稲や色づく草木を激しく揺らし、秋の深まりと荒涼感をもたらす大風。,天文
aki,三秋,秋の色,あきのいろ,秋の色,3,秋色、秋光、秋景色、秋望む,秋らしい色のこと。具体的には、黄金色の稲田や紅葉に染まる山の色をさす。,天文
aki,三秋,秋の色,あきのいろ,秋色,2,,秋らしい色のこと。具体的には、黄金色の稲田や紅葉に染まる山の色をさす。,天文
aki,三秋,秋の色,あきのいろ,秋光,2,,秋らしい色のこと。具体的には、黄金色の稲田や紅葉に染まる山の色をさす。,天文
aki,三秋,秋の色,あきのいろ,秋景色,3,,秋らしい色のこと。具体的には、黄金色の稲田や紅葉に染まる山の色をさす。,天文
aki,三秋,秋の色,あきのいろ,秋望む,3,,秋らしい色のこと。具体的には、黄金色の稲田や紅葉に染まる山の色をさす。,天文
aki,三秋,秋の霞,あきのかすみ,秋の霞,3,秋霞,秋の野山や水辺に立ち込める薄いかすみ（秋霞）。春霞のぼんやりとした情趣と異なり、冷気を含んでどこか寂寞とした風情。,天文
aki,三秋,秋の霞,あきのかすみ,あきのかすみ,6,,秋の野山や水辺に立ち込める薄いかすみ（秋霞）。春霞のぼんやりとした情趣と異なり、冷気を含んでどこか寂寞とした風情。,天文
aki,三秋,秋の霞,あきのかすみ,秋霞,2,,秋の野山や水辺に立ち込める薄いかすみ（秋霞）。春霞のぼんやりとした情趣と異なり、冷気を含んでどこか寂寞とした風情。,天文
aki,三秋,秋の雲,あきのくも,秋の雲,3,秋雲,秋の青空に白く浮かぶ様々な形の雲。巻雲やうろこ雲、いわし雲など、高空に広がる繊細で優美な秋の空の造形美。,天文
aki,三秋,秋の雲,あきのくも,秋雲,2,,秋の青空に白く浮かぶ様々な形の雲。巻雲やうろこ雲、いわし雲など、高空に広がる繊細で優美な秋の空の造形美。,天文
aki,三秋,秋の声,あきのこえ,秋の声,3,秋声、秋の音,秋風が木々を揺らす音、虫の音、雨の音など、秋の訪れを感じさせる自然のあらゆる音（秋音）。聴覚を通した秋の実感。,天文
aki,三秋,秋の声,あきのこえ,秋声,2,,秋風が木々を揺らす音、虫の音、雨の音など、秋の訪れを感じさせる自然のあらゆる音（秋音）。聴覚を通した秋の実感。,天文
aki,三秋,秋の声,あきのこえ,秋の音,3,,秋風が木々を揺らす音、虫の音、雨の音など、秋の訪れを感じさせる自然のあらゆる音（秋音）。聴覚を通した秋の実感。,天文
aki,三秋,秋の空,あきのそら,秋の空,3,秋空、秋天、旻天、秋旻,澄み渡り、どこまでも高く青く広がる秋の天空。「女心と秋の空」と言われるように、変わりやすい天候の機微も含む。,天文
aki,三秋,秋の空,あきのそら,秋空,2,,澄み渡り、どこまでも高く青く広がる秋の天空。「女心と秋の空」と言われるように、変わりやすい天候の機微も含む。,天文
aki,三秋,秋の空,あきのそら,秋天,2,,澄み渡り、どこまでも高く青く広がる秋の天空。「女心と秋の空」と言われるように、変わりやすい天候の機微も含む。,天文
aki,三秋,秋の空,あきのそら,秋の天,3,,澄み渡り、どこまでも高く青く広がる秋の天空。「女心と秋の空」と言われるように、変わりやすい天候の機微も含む。,天文
aki,三秋,秋の空,あきのそら,旻天,2,,澄み渡り、どこまでも高く青く広がる秋の天空。「女心と秋の空」と言われるように、変わりやすい天候の機微も含む。,天文
aki,三秋,秋の空,あきのそら,秋旻,2,,澄み渡り、どこまでも高く青く広がる秋の天空。「女心と秋の空」と言われるように、変わりやすい天候の機微も含む。,天文
aki,三秋,秋の虹,あきのにじ,秋の虹,3,秋虹,秋の澄んだ空に現れる虹（秋虹）。夏の虹の鮮烈さに比べ、光が淡く儚げで、空の高さをいっそう際立たせる。,天文
aki,三秋,秋の虹,あきのにじ,あきのにじ,5,,秋の澄んだ空に現れる虹（秋虹）。夏の虹の鮮烈さに比べ、光が淡く儚げで、空の高さをいっそう際立たせる。,天文
aki,三秋,秋の虹,あきのにじ,秋虹,2,,秋の澄んだ空に現れる虹（秋虹）。夏の虹の鮮烈さに比べ、光が淡く儚げで、空の高さをいっそう際立たせる。,天文
aki,三秋,秋の日,あきのひ,秋の日,3,秋日、秋の朝日、秋の夕日、秋日射、秋日影、秋の入日,秋の柔らかな日差し、または秋の一日。短くなりゆく日脚や、黄金色の光に包まれた風景を静かに味わう時候季語。,天文
aki,三秋,秋の日,あきのひ,秋日,2,,秋の柔らかな日差し、または秋の一日。短くなりゆく日脚や、黄金色の光に包まれた風景を静かに味わう時候季語。,天文
aki,三秋,秋の日,あきのひ,秋の朝日,4,,秋の柔らかな日差し、または秋の一日。短くなりゆく日脚や、黄金色の光に包まれた風景を静かに味わう時候季語。,天文
aki,三秋,秋の日,あきのひ,秋の夕日,4,,秋の柔らかな日差し、または秋の一日。短くなりゆく日脚や、黄金色の光に包まれた風景を静かに味わう時候季語。,天文
aki,三秋,秋の日,あきのひ,秋日射,3,,秋の柔らかな日差し、または秋の一日。短くなりゆく日脚や、黄金色の光に包まれた風景を静かに味わう時候季語。,天文
aki,三秋,秋の日,あきのひ,秋日影,3,,秋の柔らかな日差し、または秋の一日。短くなりゆく日脚や、黄金色の光に包まれた風景を静かに味わう時候季語。,天文
aki,三秋,秋の日,あきのひ,秋の入日,4,,秋の柔らかな日差し、または秋の一日。短くなりゆく日脚や、黄金色の光に包まれた風景を静かに味わう時候季語。,天文
aki,三秋,秋の日,あきのひ,秋の陽,3,,秋の柔らかな日差し、または秋の一日。短くなりゆく日脚や、黄金色の光に包まれた風景を静かに味わう時候季語。,天文
aki,三秋,秋の星,あきのほし,秋の星,3,白鳥座/ペガサス/秋北斗,星は年中見えるが、大気が澄む秋の星は格別の感があり、そうした思いを込めた言葉。白鳥座、碇星（カシオペア）など、北斗七星は「秋北斗」と呼ばれる。,天文
aki,三秋,秋の星,あきのほし,白鳥座,3,,星は年中見えるが、大気が澄む秋の星は格別の感があり、そうした思いを込めた言葉。白鳥座、碇星（カシオペア）など、北斗七星は「秋北斗」と呼ばれる。,天文
aki,三秋,秋の星,あきのほし,ペガサス,4,,星は年中見えるが、大気が澄む秋の星は格別の感があり、そうした思いを込めた言葉。白鳥座、碇星（カシオペア）など、北斗七星は「秋北斗」と呼ばれる。,天文
aki,三秋,秋の星,あきのほし,秋北斗,3,,星は年中見えるが、大気が澄む秋の星は格別の感があり、そうした思いを込めた言葉。白鳥座、碇星（カシオペア）など、北斗七星は「秋北斗」と呼ばれる。,天文
aki,三秋,秋の夕焼,あきのゆうやけ,秋の夕焼,4,秋夕映,ただ「夕焼」と言えば夏の季語である。秋の夕焼は夏の夕焼の強烈な色、暑さとは違い、どこか寂しさを伴なうものである。,天文
aki,三秋,秋の夕焼,あきのゆうやけ,秋夕焼,3,,ただ「夕焼」と言えば夏の季語である。秋の夕焼は夏の夕焼の強烈な色、暑さとは違い、どこか寂しさを伴なうものである。,天文
aki,三秋,秋の夕焼,あきのゆうやけ,秋夕映,3,,ただ「夕焼」と言えば夏の季語である。秋の夕焼は夏の夕焼の強烈な色、暑さとは違い、どこか寂しさを伴なうものである。,天文
aki,三秋,秋晴,あきばれ,秋晴,2,秋の晴、秋晴る,秋特有の抜けるような青空と爽やかな気候。湿気がなくからりと晴れ渡り、心まで晴れ晴れとする秋の最高の天候。,天文
aki,三秋,秋晴,あきばれ,秋の晴,3,,秋特有の抜けるような青空と爽やかな気候。湿気がなくからりと晴れ渡り、心まで晴れ晴れとする秋の最高の天候。,天文
aki,三秋,秋晴,あきばれ,秋晴る,3,,秋特有の抜けるような青空と爽やかな気候。湿気がなくからりと晴れ渡り、心まで晴れ晴れとする秋の最高の天候。,天文
aki,三秋,秋晴,あきばれ,あきばれ,4,,秋特有の抜けるような青空と爽やかな気候。湿気がなくからりと晴れ渡り、心まで晴れ晴れとする秋の最高の天候。,天文
aki,三秋,秋日和,あきびより,秋日和,3,,秋のよく晴れた一日をいう。風もなくおだやかなので外で過ごすのも気持ちよい。空気が澄んでいるため視界も広がり、風景などもはっきりと見える。,天文
aki,三秋,稲妻,いなづま,稲妻,2,稲光、稲の殿、稲の妻、稲の夫、稲つるみ、いなつるび、いなたま,空がひび割れるかのように走る電光のこと。空中の放電現象によるものだが、その大音響の雷が夏の季語なのに対し、稲妻が秋の季語となっているのは、稲を実らせると信じられていたからである。,天文
aki,三秋,稲妻,いなづま,稲びかり,4,,空がひび割れるかのように走る電光のこと。空中の放電現象によるものだが、その大音響の雷が夏の季語なのに対し、稲妻が秋の季語となっているのは、稲を実らせると信じられていたからである。,天文
aki,三秋,稲妻,いなづま,稲光,2,,空がひび割れるかのように走る電光のこと。空中の放電現象によるものだが、その大音響の雷が夏の季語なのに対し、稲妻が秋の季語となっているのは、稲を実らせると信じられていたからである。,天文
aki,三秋,稲妻,いなづま,稲の殿,3,,空がひび割れるかのように走る電光のこと。空中の放電現象によるものだが、その大音響の雷が夏の季語なのに対し、稲妻が秋の季語となっているのは、稲を実らせると信じられていたからである。,天文
aki,三秋,稲妻,いなづま,稲の妻,3,,空がひび割れるかのように走る電光のこと。空中の放電現象によるものだが、その大音響の雷が夏の季語なのに対し、稲妻が秋の季語となっているのは、稲を実らせると信じられていたからである。,天文
aki,三秋,稲妻,いなづま,稲の夫,3,,空がひび割れるかのように走る電光のこと。空中の放電現象によるものだが、その大音響の雷が夏の季語なのに対し、稲妻が秋の季語となっているのは、稲を実らせると信じられていたからである。,天文
aki,三秋,稲妻,いなづま,稲つるみ,4,,空がひび割れるかのように走る電光のこと。空中の放電現象によるものだが、その大音響の雷が夏の季語なのに対し、稲妻が秋の季語となっているのは、稲を実らせると信じられていたからである。,天文
aki,三秋,稲妻,いなづま,いなびかり,5,,空がひび割れるかのように走る電光のこと。空中の放電現象によるものだが、その大音響の雷が夏の季語なのに対し、稲妻が秋の季語となっているのは、稲を実らせると信じられていたからである。,天文
aki,三秋,稲妻,いなづま,いなつるび,5,,空がひび割れるかのように走る電光のこと。空中の放電現象によるものだが、その大音響の雷が夏の季語なのに対し、稲妻が秋の季語となっているのは、稲を実らせると信じられていたからである。,天文
aki,三秋,稲妻,いなづま,いなたま,4,,空がひび割れるかのように走る電光のこと。空中の放電現象によるものだが、その大音響の雷が夏の季語なのに対し、稲妻が秋の季語となっているのは、稲を実らせると信じられていたからである。,天文
aki,三秋,稲妻,いなづま,いなづま,4,,空がひび割れるかのように走る電光のこと。空中の放電現象によるものだが、その大音響の雷が夏の季語なのに対し、稲妻が秋の季語となっているのは、稲を実らせると信じられていたからである。,天文
aki,三秋,色なき風,いろなきかぜ,色なき風,4,風の色、素風,秋の風のこと。｢色なき」とは、花やかな色や、艶のないこと。久我太政大臣雅実の「物思へば色なき風もなかりけり身にしむ秋の心ならひに」の歌にもとづく。,天文
aki,三秋,色なき風,いろなきかぜ,風の色,3,,秋の風のこと。｢色なき」とは、花やかな色や、艶のないこと。久我太政大臣雅実の「物思へば色なき風もなかりけり身にしむ秋の心ならひに」の歌にもとづく。,天文
aki,三秋,色なき風,いろなきかぜ,素風,2,,秋の風のこと。｢色なき」とは、花やかな色や、艶のないこと。久我太政大臣雅実の「物思へば色なき風もなかりけり身にしむ秋の心ならひに」の歌にもとづく。,天文
aki,三秋,鰯雲,いわしぐも,鰯雲,2,鱗雲,秋の空高く、細かな白い雲片が鰯の群れのように規則正しく広がる巻積雲。秋晴れの空の広がりと美しさを象徴する。,天文
aki,三秋,鰯雲,いわしぐも,鱗雲,2,,秋の空高く、細かな白い雲片が鰯の群れのように規則正しく広がる巻積雲。秋晴れの空の広がりと美しさを象徴する。,天文
aki,三秋,鰯雲,いわしぐも,いわし雲,4,,秋の空高く、細かな白い雲片が鰯の群れのように規則正しく広がる巻積雲。秋晴れの空の広がりと美しさを象徴する。,天文
aki,三秋,鰯雲,いわしぐも,うろこ雲,4,,秋の空高く、細かな白い雲片が鰯の群れのように規則正しく広がる巻積雲。秋晴れの空の広がりと美しさを象徴する。,天文
aki,三秋,霧,きり,霧,1,朝霧、夕霧、夜霧、山霧、野霧、狭霧、霧の帳、霧襖、霧の籬、霧の海、霧の雫、霧雨、霧時雨,秋の朝夕、大気中の水蒸気が冷やされて微細な水滴となり、視界を白く煙らせる気象現象。幻想的な秋の山野の風景。,天文
aki,三秋,霧,きり,朝霧,2,,秋の朝夕、大気中の水蒸気が冷やされて微細な水滴となり、視界を白く煙らせる気象現象。幻想的な秋の山野の風景。,天文
aki,三秋,霧,きり,夕霧,2,,秋の朝夕、大気中の水蒸気が冷やされて微細な水滴となり、視界を白く煙らせる気象現象。幻想的な秋の山野の風景。,天文
aki,三秋,霧,きり,夜霧,2,,秋の朝夕、大気中の水蒸気が冷やされて微細な水滴となり、視界を白く煙らせる気象現象。幻想的な秋の山野の風景。,天文
aki,三秋,霧,きり,山霧,2,,秋の朝夕、大気中の水蒸気が冷やされて微細な水滴となり、視界を白く煙らせる気象現象。幻想的な秋の山野の風景。,天文
aki,三秋,霧,きり,野霧,2,,秋の朝夕、大気中の水蒸気が冷やされて微細な水滴となり、視界を白く煙らせる気象現象。幻想的な秋の山野の風景。,天文
aki,三秋,霧,きり,狭霧,2,,秋の朝夕、大気中の水蒸気が冷やされて微細な水滴となり、視界を白く煙らせる気象現象。幻想的な秋の山野の風景。,天文
aki,三秋,霧,きり,濃霧,2,,秋の朝夕、大気中の水蒸気が冷やされて微細な水滴となり、視界を白く煙らせる気象現象。幻想的な秋の山野の風景。,天文
aki,三秋,霧,きり,霧の帳,3,,秋の朝夕、大気中の水蒸気が冷やされて微細な水滴となり、視界を白く煙らせる気象現象。幻想的な秋の山野の風景。,天文
aki,三秋,霧,きり,霧襖,2,,秋の朝夕、大気中の水蒸気が冷やされて微細な水滴となり、視界を白く煙らせる気象現象。幻想的な秋の山野の風景。,天文
aki,三秋,霧,きり,霧の籬,3,,秋の朝夕、大気中の水蒸気が冷やされて微細な水滴となり、視界を白く煙らせる気象現象。幻想的な秋の山野の風景。,天文
aki,三秋,霧,きり,霧の海,3,,秋の朝夕、大気中の水蒸気が冷やされて微細な水滴となり、視界を白く煙らせる気象現象。幻想的な秋の山野の風景。,天文
aki,三秋,霧,きり,霧の雫,3,,秋の朝夕、大気中の水蒸気が冷やされて微細な水滴となり、視界を白く煙らせる気象現象。幻想的な秋の山野の風景。,天文
aki,三秋,霧,きり,霧雨,2,,秋の朝夕、大気中の水蒸気が冷やされて微細な水滴となり、視界を白く煙らせる気象現象。幻想的な秋の山野の風景。,天文
aki,三秋,霧,きり,霧時雨,3,,秋の朝夕、大気中の水蒸気が冷やされて微細な水滴となり、視界を白く煙らせる気象現象。幻想的な秋の山野の風景。,天文
aki,三秋,霧,きり,霧しぐれ,4,,秋の朝夕、大気中の水蒸気が冷やされて微細な水滴となり、視界を白く煙らせる気象現象。幻想的な秋の山野の風景。,天文
aki,三秋,霧,きり,霧ぶすま,4,,秋の朝夕、大気中の水蒸気が冷やされて微細な水滴となり、視界を白く煙らせる気象現象。幻想的な秋の山野の風景。,天文
aki,三秋,鯖雲,さばぐも,鯖雲,2,,サバの背の波状模様のように筋状に美しく広がる秋の巻積雲。澄み切った高空の美しさと天気の変化を捉える。,天文
aki,三秋,鯖雲,さばぐも,さばぐも,4,,サバの背の波状模様のように筋状に美しく広がる秋の巻積雲。澄み切った高空の美しさと天気の変化を捉える。,天文
aki,三秋,降り月,くだりづき,降り月,3,望くだり、下弦の月、下り月,満月（望月）を過ぎて次第に欠けていく月、または深夜から明け方にかけて西の空に沈んでいく下弦の月（下り月）。,天文
aki,三秋,降り月,くだりづき,くだりづき,5,,満月（望月）を過ぎて次第に欠けていく月、または深夜から明け方にかけて西の空に沈んでいく下弦の月（下り月）。,天文
aki,三秋,降り月,くだりづき,望くだり,4,,満月（望月）を過ぎて次第に欠けていく月、または深夜から明け方にかけて西の空に沈んでいく下弦の月（下り月）。,天文
aki,三秋,降り月,くだりづき,下弦の月,4,,満月（望月）を過ぎて次第に欠けていく月、または深夜から明け方にかけて西の空に沈んでいく下弦の月（下り月）。,天文
aki,三秋,降り月,くだりづき,下り月,3,,満月（望月）を過ぎて次第に欠けていく月、または深夜から明け方にかけて西の空に沈んでいく下弦の月（下り月）。,天文
aki,三秋,龍田姫,たつたひめ,龍田姫,3,,日本の秋を司る女神。奈良の竜田山の紅葉の美しさにちなみ、山々を美しく染め上げる紅葉の織姫として信仰された。,天文
aki,三秋,龍田姫,たつたひめ,たつたひめ,5,,日本の秋を司る女神。奈良の竜田山の紅葉の美しさにちなみ、山々を美しく染め上げる紅葉の織姫として信仰された。,天文
aki,三秋,月,つき,月,1,四日月、五日月、八日月、十日月、月更くる、月上る、遅月、月傾く、月落つ、月の秋、月の桂、桂男、月の兎玉兎、月の蛙、嫦娥、孀娥、月の鼠、月の都、月宮殿、月の鏡、月の顔、胸の月、心の月、真如の月、袖の月、朝月日、夕月日、月の出潮、月待ち、昼の月、薄月、月の蝕、月の暈、月の輪、月の出、月の入、月渡る、秋の月、月夜、月光、月明、月影、月下、上弦、下弦、弓張月、半月、有明月,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,四日月,3,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,五日月,3,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,八日月,3,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,十日月,3,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,月更くる,4,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,月上る,3,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,遅月,2,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,月傾く,3,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,月落つ,3,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,火,つき,月清し,3,,秋の月である。春の花、冬の雪とともに日本の四季を代表する。ただ月といえば秋の月をさすのは、秋から冬にかけて空が澄み、月が明るく大きく照りわたるからである。,生活
aki,三秋,月,つき,月の秋,3,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,月の桂,3,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,桂男,2,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,月の兎玉兎,5,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,月の蛙,3,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,月の都,3,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,月の鏡,3,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,月の顔,3,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,胸の月,3,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,火,つき,海の月,3,,秋の月である。春の花、冬の雪とともに日本の四季を代表する。ただ月といえば秋の月をさすのは、秋から冬にかけて空が澄み、月が明るく大きく照りわたるからである。,生活
aki,三秋,月,つき,心の月,3,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,真如の月,4,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,袖の月,3,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,嫦娥,2,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,月の鼠,3,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,月宮殿,3,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,朝月日,3,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,夕月日,3,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,月の出潮,4,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,月待ち,3,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,昼の月,3,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,薄月,2,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,月の蝕,3,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,月の暈,3,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,月の輪,3,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,月の出,3,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,月の入,3,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,月渡る,3,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,秋の月,3,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
aki,三秋,月,つき,月夜,2,,単に「月」といえば秋の季語。大気が澄み渡る秋の月は四季の中で最も美しく、日本人の美意識の中心をなす最重要季語。,天文
